colume,row,f
1973,L（生命科学）,4489
1973,P（物理学）,4101
1973,S（社会学）,3354
1973,B（行为科学）,2444
1973,E（工程学）,3338
1973,M（数学）,1222
1974,L（生命科学）,4303
1974,P（物理学）,3800
1974,S（社会学）,3286
1974,B（行为科学）,2587
1974,E（工程学）,3144
1974,M（数学）,1196
1975,L（生命科学）,4402
1975,P（物理学）,3749
1975,S（社会学）,3344
1975,B（行为科学）,2749
1975,E（工程学）,2959
1975,M（数学）,1149
1976,L（生命科学）,4350
1976,P（物理学）,3572
1976,S（社会学）,3278
1976,B（行为科学）,2878
1976,E（工程学）,2791
1976,M（数学）,1003
1977,L（生命科学）,4266
1977,P（物理学）,3410
1977,S（社会学）,3137
1977,B（行为科学）,2960
1977,E（工程学）,2641
1977,M（数学）,959
1978,L（生命科学）,4361
1978,P（物理学）,3234
1978,S（社会学）,3008
1978,B（行为科学）,3049
1978,E（工程学）,2432
1978,M（数学）,959
